;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora
70;Clara Silva;120.974.586-02;nicolasrezende@example.net;"Viaduto Correia, 41
Itatiaia
25486-691 Cavalcanti das Flores / DF";Santa Lúcia;('PA', 'Pará');Alagoas;RO;+55 34 9 6424-1607;Canadá;AF;"VISA 19 digit
Henry Gabriel da Mata
4555021313728730103 12/25
CVC: 038
";213118634326394;08/32;2847;2017-05-12;2015-12-12 04:12:29.791770
71;Maria Clara Rios;679.028.341-22;lbarros@example.net;"Chácara Sousa, 97
Anchieta
38514255 Ribeiro / MA";Oeste;('RN', 'Rio Grande do Norte');Piauí;PR;+55 07 9 1996-7214;Ilhas Virgens Americanas;VU;"VISA 16 digit
Gustavo Henrique Caldeira
4223652920872232 10/27
CVC: 643
";502029605719;08/31;335;2002-06-14;2020-08-18 21:46:52.332145
72;Marcos Vinicius Costa;512.708.463-53;ana-carolinateixeira@example.com;"Lagoa de Vargas, 52
Concórdia
37847-707 Azevedo / PE";Antonio Ribeiro De Abreu 1ª Seção;('PE', 'Pernambuco');Tocantins;CE;+55 (97) 9 8436-5668;Omã;DO;"Diners Club / Carte Blanche
João Guilherme Carvalho
30432564933298 06/32
CVC: 366
";6567790226331856;09/32;612;2008-01-22;2012-05-27 14:40:03.640974
73;Gael Henrique Pimenta;947.103.286-50;xsampaio@example.net;"Trevo Luísa Cavalcanti, 52
Ipe
37337-405 Barbosa Alegre / CE";Ventosa;('RS', 'Rio Grande do Sul');Pernambuco;PB;+55 (32) 9 2174-7247;Domínica;ST;"VISA 16 digit
Zoe Caldeira
4405273285563819 11/34
CVC: 748
";349066856204178;10/34;390;1999-08-19;2018-10-22 03:38:04.394862
74;Gustavo Henrique Abreu;895.432.607-29;gomesagatha@example.org;"Parque Mariane Vieira, 99
Granja De Freitas
14463-754 Rezende / PA";Vila Santa Rosa;('PA', 'Pará');Rio Grande do Sul;MT;+55 (66) 90463 3353;Grécia;ST;"Diners Club / Carte Blanche
Luara Barros
30348780294242 08/29
CVC: 963
";4465304325021687;04/34;741;1982-07-01;1983-05-14 04:47:35.431661
75;Sara Barros;091.873.642-04;mirellavasconcelos@example.net;"Ladeira Pires, 9
Vila Piratininga
27712-075 Viana das Flores / DF";Beira Linha;('MT', 'Mato Grosso');Distrito Federal;SE;+55 77 9 4291-2513;Birmânia;RO;"Maestro
Ágatha Sá
503878523920 02/27
CVV: 356
";3552605464605882;08/32;682;1986-07-14;2012-03-04 19:49:53.351313
76;Vitor Camargo;791.362.084-69;costelamirella@example.org;"Rua de Câmara
São Luiz
85948223 Rios da Serra / AM";Urca;('SC', 'Santa Catarina');Maranhão;PE;+55 (071) 91534 8397;Eritreia;BR;"Diners Club / Carte Blanche
Giovanna Gomes
30343727495721 01/34
CVC: 231
";342160927622034;01/25;6808;1991-12-22;2006-11-28 08:15:41.252906
77;Pedro Henrique Silva;201.758.369-30;tmendonca@example.net;"Estrada Moraes, 6
Jardinópolis
96854-261 Pinto de Abreu / SC";Vila Nova Cachoeirinha 3ª Seção;('AP', 'Amapá');Pernambuco;SP;+55 (67) 9 6134 2444;Guiné;MC;"VISA 16 digit
Catarina Pereira
4204352032215221 09/32
CVC: 099
";6011777291451810;05/28;1988;1983-04-12;1986-07-12 01:02:38.333203
78;Dr. Mateus da Cruz;692.034.175-16;eloahdas-neves@example.org;"Viela de Martins
Vila Aeroporto
71020476 Melo / PB";Candelaria;('AL', 'Alagoas');Rio Grande do Norte;AC;+55 (030) 97345-1579;Camarões;SL;"JCB 16 digit
Raul Rocha
3599494938908619 12/24
CVC: 208
";4050957269022087485;06/28;623;1978-01-28;1989-08-28 06:37:16.422848
79;Sra. Ana Julia Dias;841.037.256-80;jda-costa@example.org;"Aeroporto Nunes, 7
Vila Paquetá
53423293 Peixoto / RR";Cidade Jardim Taquaril;('RJ', 'Rio de Janeiro');Pernambuco;PI;+55 (72) 9 3787-2201;Nova Caledónia;AM;"JCB 16 digit
Ravi Lucca Montenegro
3513915681541028 10/30
CVC: 727
";4100628185054;03/34;558;1974-11-06;1972-05-26 18:56:22.801509
80;Julia Azevedo;237.056.198-02;vargasolivia@example.com;"Lago Vitória Camargo
Bandeirantes
20331006 Viana de Goiás / SP";Conjunto Califórnia I;('AL', 'Alagoas');Maranhão;RJ;+55 62 9 2330-1162;Canadá;OM;"Discover
Emanuelly Farias
6585305565620757 05/30
CVC: 706
";213174841674951;10/28;126;2008-04-04;2001-09-20 17:21:23.485116
81;Maria Isis Lima;523.468.901-89;qbarros@example.org;"Vila de Sá, 8
Grota
69147-762 Moraes do Galho / MG";Nossa Senhora De Fátima;('PE', 'Pernambuco');Tocantins;GO;+55 (084) 94582-5677;Líbano;SV;"JCB 15 digit
Olívia Pinto
180021930757370 04/26
CVC: 176
";4144440644827774980;02/31;425;1970-01-19;2012-07-04 08:16:59.824700
82;Srta. Gabriela Borges;234.786.910-87;matteomacedo@example.org;"Esplanada Lima, 2
Araguaia
11830-950 Souza de Dias / BA";Nova Floresta;('RN', 'Rio Grande do Norte');Acre;SP;+55 (063) 90486-7571;Cazaquistão;PY;"VISA 13 digit
Heloísa Vargas
4571957864297 02/30
CVC: 664
";4735641052859285259;09/31;115;1973-10-06;2019-02-16 02:18:14.313540
83;José Miguel Gomes;852.469.013-51;marcos-viniciusvargas@example.net;"Rodovia Lucas Dias, 359
João Paulo Ii
83255347 Nascimento das Pedras / AM";Vista Do Sol;('MS', 'Mato Grosso do Sul');Rondônia;RJ;+55 (39) 9 0044-4897;Iêmen;CU;"JCB 15 digit
Theo da Luz
180041935036026 10/28
CVC: 702
";213160548684955;10/28;593;1986-09-21;1994-07-04 16:51:52.830353
84;Júlia da Mata;520.394.786-47;yda-rosa@example.org;"Chácara Fonseca, 110
Eymard
34518961 Sá / MG";Carlos Prates;('AM', 'Amazonas');Rio de Janeiro;RR;+55 (35) 93932-1290;Egito;AL;"VISA 13 digit
Mateus Pacheco
4480866337199 10/33
CVC: 339
";180079791220649;01/31;382;2004-02-07;1973-08-10 00:35:57.947923
85;Benjamin Porto;402.153.896-89;raul69@example.net;"Travessa de Cirino
Conjunto Serra Verde
62732-274 Guerra das Pedras / AP";Vila Jardim Leblon;('SE', 'Sergipe');Pernambuco;AL;+55 10 9 0929-3108;Wallis e Futuna;NA;"JCB 15 digit
Josué Mendonça
213146049641313 01/27
CVC: 461
";2250531597731428;04/32;022;2005-10-24;1970-02-25 19:25:31.339525
86;Vinicius Camargo;192.543.708-60;luiz-fernando32@example.com;"Trevo Brito, 57
Jardim América
60971319 Freitas de Azevedo / AL";Cruzeiro;('AM', 'Amazonas');Rio de Janeiro;MT;+55 (59) 94013-4969;Namíbia;PG;"American Express
Isaque da Luz
343751535334373 07/25
CID: 5961
";4329534444087;01/28;3733;1999-06-16;2024-04-09 18:29:21.690484
87;Ísis Casa Grande;708.642.159-67;yuricardoso@example.com;"Sítio Ana Luiza Rios, 94
Vila Madre Gertrudes 4ª Seção
10017-955 Montenegro dos Dourados / RR";Grajaú;('SC', 'Santa Catarina');Piauí;AP;+55 79 91525 8725;Barbados;GA;"JCB 15 digit
Cauã da Rocha
213184817248151 04/29
CVC: 694
";372427835672457;03/28;256;1978-08-26;2003-02-12 05:45:15.988944
88;Rael Marques;387.214.506-17;emillyrezende@example.org;"Quadra de Silva, 842
Vila Rica
02160820 Porto / AM";Santa Monica;('PB', 'Paraíba');Paraíba;RS;+55 54 98818 2803;Índia;TR;"JCB 15 digit
Caroline Freitas
213132618547388 08/34
CVC: 098
";3540075895621822;06/32;967;1996-09-22;2011-05-13 08:30:11.514699
89;Raul Porto;912.307.845-60;ottocassiano@example.org;"Vila Monteiro, 73
Nossa Senhora Da Aparecida
43182-505 Machado da Praia / AP";Vila Independencia 3ª Seção;('RR', 'Roraima');Espírito Santo;PA;+55 (35) 9 1847-4001;Somália;ZA;"JCB 16 digit
Jade Dias
3501968571706858 01/27
CVC: 775
";4343767921426735510;12/25;537;1982-01-26;2012-04-09 03:11:29.168525
90;Bruno Ribeiro;215.693.740-07;maria-luisaabreu@example.com;"Rodovia Esther das Neves, 21
Vila Suzana Primeira Seção
61198500 Vieira da Prata / AC";Lajedo;('MG', 'Minas Gerais');Espírito Santo;TO;+55 (070) 91414-7337;Seicheles;MV;"VISA 19 digit
Maysa Rios
4837800298905643048 06/25
CVC: 261
";4563165633618601803;06/33;795;2004-02-03;2006-08-10 11:41:42.554296
91;Dr. Kevin da Luz;431.287.069-13;henriquepimenta@example.net;"Viela Vieira, 727
Oeste
42814-496 Peixoto / PI";Vila Puc;('AL', 'Alagoas');Rondônia;MS;+55 14 98911 9927;Bósnia e Herzegovina;SG;"VISA 16 digit
Ana Julia Azevedo
4829649462146007 03/26
CVC: 991
";4845150307234306;02/31;570;2005-05-15;1992-08-06 21:04:58.484308
92;Isabella Barros;123.645.798-64;ksouza@example.com;"Via de da Mota, 92
Vila Madre Gertrudes 3ª Seção
37494832 Camargo / MA";Confisco;('PB', 'Paraíba');Paraíba;AL;+55 (073) 90515-5118;Gâmbia;LV;"JCB 16 digit
Olivia da Paz
3574840461053984 08/25
CVC: 896
";4041126328332386121;10/30;371;2023-05-09;2012-02-07 15:59:40.936782
93;Elisa Lopes;501.326.897-40;maria-juliaribeiro@example.com;"Núcleo de Leão, 5
Alto Vera Cruz
48116426 da Paz / ES";Túnel De Ibirité;('RJ', 'Rio de Janeiro');Rio Grande do Sul;RN;+55 (75) 95932 7866;São Pedro e Miquelon;BO;"Diners Club / Carte Blanche
Maria Helena Novais
30372881688680 04/30
CVC: 726
";4589535159592;10/31;128;1985-04-18;1986-05-21 14:33:38.907811
94;Marcos Vinicius Vargas;142.587.630-71;mathiassa@example.org;"Via Eloá Marques
Estrela
77284679 Fernandes / DF";Mangueiras;('PB', 'Paraíba');Mato Grosso do Sul;PA;+55 (084) 95944-7257;Estados Unidos;EC;"Mastercard
Cauã Machado
2283184583293556 02/27
CVV: 206
";4137229815855810133;11/25;476;1973-05-06;2005-01-16 12:39:17.210587
95;Maria Flor Nunes;967.534.802-00;rafael82@example.com;"Esplanada Leonardo Guerra
Indaiá
06369975 Ferreira de Moraes / PA";Jonas Veiga;('AM', 'Amazonas');Minas Gerais;SP;+55 (97) 9 0222-9498;Ilhas Caiman;JO;"JCB 15 digit
Ana Cecília Costa
180047310125045 02/33
CVC: 036
";6011870816563381;06/31;198;1980-12-29;2005-01-11 04:29:42.367658
96;Rebeca Aragão;018.935.247-79;yguerra@example.net;"Lago da Cunha, 252
Santa Margarida
24233-428 da Paz do Galho / SE";Nossa Senhora Da Conceição;('AM', 'Amazonas');Goiás;PR;+55 03 9 7102-1087;Quiribáti;GE;"VISA 16 digit
Alexia da Cruz
4136406403756370 10/26
CVC: 412
";4481933207545775;11/34;593;2022-05-07;2011-09-26 16:25:50.978260
97;Dra. Lunna Fernandes;903.587.261-40;da-cruzlavinia@example.org;"Largo Viana, 784
Vila Sesc
12475-867 Pinto / BA";Marmiteiros;('CE', 'Ceará');Espírito Santo;PI;+55 (71) 96323 7739;Jersey;IE;"American Express
Helena Cavalcante
372160774625976 06/27
CID: 2325
";30080968477782;03/32;780;2014-03-06;2010-03-31 16:22:04.111275
98;Thomas Cassiano;980.174.352-23;fonsecamaria-julia@example.net;"Viela de Aparecida
Alto Caiçaras
18663192 Aragão Paulista / PA";Vila Independencia 1ª Seção;('PE', 'Pernambuco');Paraná;CE;+55 (21) 9 9837-2518;Moçambique;CL;"American Express
Matteo Pereira
371616446311171 08/28
CID: 1693
";4617803687372;09/34;635;2021-08-20;1986-11-08 10:12:46.773087
99;Brayan Cirino;635.917.048-57;spinto@example.com;"Trevo de Ribeiro, 126
Alípio De Melo
39358553 Cardoso de Pires / CE";Mangueiras;('AP', 'Amapá');Rio Grande do Sul;MG;+55 54 97461 2747;Tuvalu;AM;"Mastercard
Theo Azevedo
2259480583112998 01/32
CVV: 929
";345984341705449;04/30;355;2018-09-04;1978-05-31 06:45:21.826588
