;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
68;Emanuella Lima;316.452.809-42;da-pazerick@example.org;"Largo Pastor, 67
Petropolis
94839408 Nascimento das Pedras / PR";Vila Madre Gertrudes 4ª Seção;('PI', 'Piauí');Distrito Federal;PE;+55 (016) 96917 0438;Ilhas Virgens Britânicas;KR;"Discover
Vitória Nogueira
6011119859951347 04/29
CVC: 975
";3523857655666639;11/25;486;1986-09-20;1975-10-05 14:02:16.881645;2025-01-03
69;João Felipe Gomes;702.369.458-74;ravimelo@example.com;"Praça Guilherme Vieira, 24
Nossa Senhora Da Aparecida
24715-229 Duarte do Amparo / MA";Vila São Rafael;('RN', 'Rio Grande do Norte');Alagoas;DF;+55 78 9 6481-8070;Ilhas Heard e McDonald;BH;"American Express
Carolina Silveira
348077579175489 02/32
CID: 6890
";4925187309038;03/26;458;2023-08-11;2017-10-26 17:48:48.512140;2025-01-03
70;Maria Eduarda Sales;274.016.538-26;vsantos@example.com;"Rua Lívia Martins
Santa Isabel
42213-122 Fernandes / RJ";Nossa Senhora De Fátima;('AL', 'Alagoas');Mato Grosso do Sul;MT;+55 60 91758-1375;Ilhas Heard e McDonald;JM;"VISA 19 digit
Camila Cavalcante
4971089196098644261 07/31
CVC: 536
";213157925830912;05/25;182;1986-05-07;2015-02-22 23:18:29.843199;2025-01-03
71;Maria Sophia da Cruz;634.792.108-13;luan11@example.net;"Alameda de Cardoso, 5
Goiania
86455476 Caldeira de Rocha / PR";Jardim Atlântico;('AP', 'Amapá');Rio Grande do Sul;DF;+55 (76) 96955-5863;Letônia;PW;"JCB 16 digit
Pedro Lucas da Rocha
3568126928903559 06/34
CVC: 149
";349093380395280;04/34;8099;2002-01-12;2011-10-07 14:35:53.099881;2025-01-03
72;Maria Julia Almeida;328.905.617-12;qcasa-grande@example.net;"Trevo Cirino, 72
Corumbiara
25713626 da Cruz de Minas / CE";Vila Nova Gameleira 3ª Seção;('PA', 'Pará');Paraná;MS;+55 (018) 91774 0447;Rússia;KG;"VISA 16 digit
Joaquim Marques
4135814892993001 06/25
CVC: 256
";3535807700828532;10/27;7006;1971-02-01;2016-01-17 14:31:16.277804;2025-01-03
73;Ravy Rezende;694.231.785-37;ivargas@example.org;"Via da Mota, 3
Saudade
64727698 Dias / PR";Castanheira;('RO', 'Rondônia');São Paulo;RO;+55 21 98898-8932;Barbados;ZW;"JCB 15 digit
Emanuelly da Luz
180070233916597 02/30
CVC: 575
";4136687187894285;09/32;546;2018-06-06;1970-06-27 21:43:18.443241;2025-01-03
74;Bárbara Siqueira;562.714.398-37;dda-conceicao@example.org;"Residencial de Carvalho, 51
Conjunto Lagoa
16050-927 Cunha Paulista / AM";Vila Batik;('RR', 'Roraima');Mato Grosso do Sul;PB;+55 (89) 94725-3330;Cuba;QA;"Diners Club / Carte Blanche
Pedro Pereira
30574230496570 03/31
CVC: 648
";4873850759004949713;05/34;577;2020-12-23;1994-11-27 09:01:35.448074;2025-01-03
75;Dr. Henry Costa;548.310.267-35;cunhavinicius@example.net;"Praia Pedro Henrique Monteiro, 92
Vila Copasa
28220418 Nogueira Paulista / AL";Conjunto Califórnia I;('RJ', 'Rio de Janeiro');São Paulo;AL;+55 (15) 91036 0022;Noruega;SY;"JCB 16 digit
Ana Beatriz Lima
3551404761598805 02/34
CVC: 702
";3512629523520329;02/26;0170;2024-11-05;1984-05-21 22:04:36.051640;2025-01-03
76;Sr. Marcos Vinicius Aparecida;748.923.601-04;isisgoncalves@example.net;"Via de da Costa
Barão Homem De Melo 2ª Seção
61047-236 Costa / RO";Pindura Saia;('AC', 'Acre');Bahia;PR;+55 (16) 97010 7258;Malávi;ZA;"VISA 19 digit
Valentim Pires
4709163666947850296 01/27
CVC: 054
";343143548824881;04/30;547;2009-10-15;2015-06-10 05:41:05.583585;2025-01-03
77;Dra. Melissa Moraes;560.138.427-44;vieirathomas@example.org;"Morro Aragão
Vila Santo Antônio
02770-755 da Rosa de da Mota / RO";Silveira;('CE', 'Ceará');Piauí;SC;+55 (091) 95599 8324;Macau;CA;"JCB 15 digit
Mariah Silva
180051769190054 05/30
CVC: 210
";4757487930822107;03/25;322;1999-09-24;2021-08-17 18:57:52.151302;2025-01-03
78;Aylla Albuquerque;514.309.672-34;nda-cunha@example.net;"Quadra Dias, 10
João Pinheiro
39350-889 Peixoto do Sul / DF";Mangueiras;('GO', 'Goiás');Acre;AM;+55 89 9 5716 8024;Salvador;VE;"JCB 16 digit
Carlos Eduardo Porto
3547331565582718 08/29
CVC: 835
";4901110253450778;11/32;336;1979-10-03;1986-09-06 01:08:14.218789;2025-01-03
79;Maria Sophia Barbosa;402.685.739-56;qgarcia@example.net;"Vereda de Aparecida, 73
Santa Cecilia
07196-801 Oliveira de Minas / RN";Tupi A;('RS', 'Rio Grande do Sul');Roraima;ES;+55 (036) 96548-4955;Síria;GY;"JCB 15 digit
Maya Sales
180096096972740 08/33
CVC: 547
";4234876294560019;09/27;434;1989-10-09;1995-03-10 08:21:40.573337;2025-01-03
80;Dr. Bernardo Alves;807.561.249-30;lorenzomoraes@example.com;"Chácara Câmara, 28
Vila Independencia 2ª Seção
62484658 Nascimento / RR";Caiçara - Adelaide;('SP', 'São Paulo');Acre;PA;+55 47 98455 2164;Honduras;ZW;"JCB 16 digit
Kaique Sampaio
3527600552068541 05/28
CVC: 729
";5166645987744910;08/30;816;1981-05-25;1982-02-11 23:21:45.690969;2025-01-03
81;Sophie Moreira;128.657.039-59;eaparecida@example.net;"Estrada Ramos
Vila São João Batista
76891-328 Lopes de Rezende / SE";Guarani;('PE', 'Pernambuco');Amazonas;SE;+55 (082) 99740-4004;Svalbard e Jan Mayen;JP;"Maestro
Lívia Moraes
501897789167 09/33
CVV: 818
";4595059390643475;12/34;365;2000-11-03;1979-05-08 18:01:18.543870;2025-01-03
82;Ana Luiza Pimenta;875.609.321-77;scastro@example.org;"Quadra Cardoso, 28
Jonas Veiga
85770852 Souza dos Dourados / CE";Etelvina Carneiro;('RJ', 'Rio de Janeiro');São Paulo;GO;+55 (95) 9 0663 1098;São Marinho;US;"Discover
Théo Almeida
6011660830494329 07/34
CVC: 543
";060410229573;01/34;4094;2021-05-03;1997-08-15 23:16:24.364000;2025-01-03
83;Benicio Jesus;679.284.153-64;yago82@example.org;"Condomínio de Pereira, 78
Santa Efigênia
97453394 da Cruz / TO";Vila Mantiqueira;('TO', 'Tocantins');Sergipe;AP;+55 (096) 94375-5779;Maurícia;HT;"VISA 19 digit
Dante Ramos
4885988654337678759 09/25
CVC: 605
";3548747322075333;12/30;051;2021-10-22;2012-12-28 19:52:41.653495;2025-01-03
84;Vitória da Cunha;745.193.602-34;isaac52@example.net;"Viaduto Heloisa Costela, 20
Vila Inestan
45022334 Farias / AP";Itapoa;('RJ', 'Rio de Janeiro');Maranhão;RR;+55 (065) 92094-4123;Aruba;KI;"Diners Club / Carte Blanche
Esther da Rosa
30578127642253 08/33
CVC: 947
";4514150357674007131;07/27;818;1975-09-23;2017-03-21 15:10:35.161942;2025-01-03
85;Esther Siqueira;107.286.539-40;anthony35@example.org;"Parque Maria Eduarda Martins, 82
Flavio De Oliveira
96506120 Barbosa / CE";Custodinha;('AL', 'Alagoas');Pernambuco;PA;+55 46 98651-7325;Polinésia Francesa;SD;"VISA 16 digit
Gabriel Fonseca
4581117909857378 11/26
CVC: 065
";3584882469669310;09/33;380;1992-10-01;2008-06-19 13:05:40.901963;2025-01-03
86;Rodrigo Macedo;509.184.672-76;andradelara@example.net;"Favela Dias, 892
Paraíso
35928313 Mendes / GO";Varzea Da Palma;('MA', 'Maranhão');Ceará;AM;+55 (08) 94258 4242;Guiana;IN;"JCB 16 digit
Catarina da Luz
3552430375848921 04/29
CVC: 066
";4386737513134;07/30;2458;1985-04-16;1979-08-28 13:18:59.929923;2025-01-03
87;Dr. Francisco Dias;150.826.437-62;agatha15@example.net;"Recanto de Novais, 90
Alta Tensão 1ª Seção
87643669 Marques da Prata / SC";Santa Sofia;('RO', 'Rondônia');Mato Grosso;PE;+55 (064) 96069-2222;Sri Lanka;MK;"American Express
Sarah da Mota
379052697662280 08/31
CID: 2357
";374109667118530;12/34;045;2017-11-28;2017-08-03 01:58:22.842235;2025-01-03
88;Arthur Fernandes;357.142.908-79;svieira@example.com;"Praça Nascimento, 82
Heliopolis
65119-437 Aparecida / TO";Antonio Ribeiro De Abreu 1ª Seção;('PR', 'Paraná');Ceará;MS;+55 (005) 90842-1572;Quênia;TH;"VISA 16 digit
Miguel Santos
4771766291338551 01/26
CVC: 408
";4006718759043766;05/34;196;2012-12-13;2020-06-21 12:56:31.740418;2025-01-03
89;Dr. José Correia;704.268.195-94;guilhermeduarte@example.com;"Estação Maysa Farias, 73
Vila Betânia
33270-845 Carvalho / RN";Trevo;('CE', 'Ceará');Santa Catarina;AM;+55 (47) 9 4412 9600;São Vicente e Granadinas;KI;"American Express
Henrique Porto
371467431239146 08/33
CID: 1228
";3538881686242858;03/33;158;1986-05-01;1970-05-20 04:03:24.005187;2025-01-03
90;Marina Oliveira;943.576.012-07;hsilva@example.com;"Residencial Zoe Sales, 3
Indaiá
10035-973 Rezende Paulista / AL";Maria Virgínia;('CE', 'Ceará');Maranhão;AL;+55 (004) 99635 5655;Bolívia;PT;"JCB 16 digit
Lorena da Rocha
3549656896441418 10/25
CVC: 584
";4017334908702034;06/25;241;2006-09-11;1994-08-24 19:18:21.696152;2025-01-03
91;João Vitor Ramos;065.287.193-30;thalesmartins@example.com;"Sítio Casa Grande, 55
Vila Ecológica
21374407 Rezende / MT";Castelo;('MT', 'Mato Grosso');Distrito Federal;AM;+55 56 9 1202-6663;Senegal;MR;"VISA 13 digit
Gustavo Henrique Macedo
4448084837860 10/31
CVC: 998
";341009495706748;05/26;772;2022-09-19;2020-09-12 14:09:34.615505;2025-01-03
92;Juliana Azevedo;432.680.915-98;eduardo03@example.com;"Favela Albuquerque, 1
Estrela Do Oriente
49170278 Barbosa do Galho / MG";Aguas Claras;('MS', 'Mato Grosso do Sul');Espírito Santo;ES;+55 22 99181-8142;Japão;NO;"Diners Club / Carte Blanche
Caroline Fogaça
30157501475828 06/31
CVC: 072
";4911947152343846;08/33;402;1978-07-28;2023-11-17 13:47:07.930709;2025-01-03
93;Vinícius Jesus;372.195.846-28;da-rosajoao-lucas@example.org;"Colônia Leão, 4
Pindura Saia
03012-100 Cunha / AL";São Cristóvão;('MS', 'Mato Grosso do Sul');Rio de Janeiro;ES;+55 (59) 9 8375 7153;Micronésia;AL;"VISA 16 digit
Emilly Vieira
4084231233964156 09/28
CVC: 986
";213124439440133;09/27;876;2020-08-24;1989-09-13 12:16:12.639116;2025-01-03
94;Heloisa Pimenta;532.861.490-98;araujoalice@example.org;"Trecho Farias, 593
Vila Pinho
94608452 Jesus do Amparo / RJ";Santa Tereza;('RJ', 'Rio de Janeiro');Roraima;RO;+55 (020) 99609-3822;Porto Rico;SM;"JCB 16 digit
Raquel Rezende
3555452360601732 01/29
CVC: 265
";4099015543355251;04/29;847;2021-05-31;2017-04-27 11:42:42.949566;2025-01-03
95;Mirella Teixeira;325.670.481-62;fonsecaluara@example.com;"Fazenda Rael da Costa, 85
Madre Gertrudes
67756814 Rios de Barros / PI";Inconfidência;('PA', 'Pará');Rondônia;AL;+55 (96) 9 8163 9797;Butão;QA;"VISA 16 digit
Gabriel Freitas
4405665453135108 10/33
CVC: 521
";630443906825;10/25;322;2013-05-17;2009-02-27 01:49:47.081280;2025-01-03
96;Luiz Gustavo Jesus;913.764.028-31;gabrielvargas@example.net;"Esplanada Albuquerque, 43
Buritis
48048286 Gomes / RN";Carlos Prates;('RN', 'Rio Grande do Norte');Amapá;DF;+55 (052) 91807 7992;Usbequistão;TH;"VISA 16 digit
Nathan Ribeiro
4846114797642328 12/25
CVC: 574
";4897942553014431658;02/31;952;1975-05-26;2007-01-09 00:24:46.504407;2025-01-03
97;Brayan Ribeiro;364.982.571-64;arthurda-cruz@example.org;"Setor de Silva, 13
Vila Inestan
75176928 Vasconcelos de Sampaio / AL";Cônego Pinheiro 2ª Seção;('AP', 'Amapá');Sergipe;RN;+55 (99) 90517 6247;São Cristóvão e Neves;YE;"Discover
Theo Marques
6011654563976966 12/28
CVC: 567
";630406645048;08/29;001;2023-04-22;2004-12-16 00:57:21.948541;2025-01-03
98;Yan Rezende;768.125.039-59;daniel53@example.org;"Lago de da Rocha, 1
Vera Cruz
99142079 Duarte do Sul / PB";Vila Canto Do Sabiá;('GO', 'Goiás');Paraíba;AM;+55 (88) 98669-1227;Bielorrússia;NR;"Maestro
Noah Machado
586477862062 10/34
CVV: 702
";676360963034;09/34;409;2001-12-31;2005-07-25 19:01:25.899837;2025-01-03
99;Luan Ribeiro;243.068.195-15;lucas-gabriel57@example.net;"Morro Apollo da Cunha, 886
Novo Tupi
15377980 Aparecida do Galho / AL";Vila De Sá;('PB', 'Paraíba');Rio Grande do Norte;PB;+55 (038) 90509 2631;Costa Rica;MC;"JCB 16 digit
Gustavo Peixoto
3553281091986381 04/32
CVC: 326
";564862732208;07/29;656;2022-07-10;2018-12-18 12:43:41.026008;2025-01-03
